factor_data_view,factor_model,factor_prompt_template,factor_temperature,mean_input_token_count,mean_output_token_count,mean_schema_completeness,mean_total_duration_seconds,mean_total_token_count,mean_wall_clock_seconds,n_runs
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.5,6163.0,1048.333333,1.0,,7211.333333,26.351058,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,1.0,1400.0,913.0,1.0,,2313.0,14.623006,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.5,1029.0,490.0,1.0,,1519.0,7.782281,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.0,1125.666667,1079.333333,1.0,,2205.0,31.196813,3
stim_summary,kimi,prompts/stim_paradigm_predictive.md,0.5,1217.0,1436.666667,1.0,,2653.666667,57.405507,3
summary_only,kimi,prompts/stim_paradigm_basic.md,0.0,895.0,985.666667,1.0,,1880.666667,23.882704,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.5,4151.0,509.333333,1.0,,4660.333333,12.287662,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.0,4034.0,667.666667,1.0,,4701.666667,11.48784,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.5,6216.0,1128.666667,1.0,,7344.666667,37.102423,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_predictive.md,1.0,4081.0,1779.333333,1.0,,5860.333333,34.909654,3
stim_summary,kimi,prompts/stim_paradigm_predictive.md,1.0,1217.0,1518.0,1.0,,2735.0,108.037651,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.75,4151.0,917.0,1.0,,5068.0,24.956763,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.25,4034.0,663.0,1.0,,4697.0,11.873196,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.0,1029.0,504.0,1.0,,1533.0,8.050715,3
